
> skillswap@0.1.0 dev
> next dev -p 3000

▲ Next.js 16.2.11 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.56.1:3000
- Environments: .env.local
✓ Ready in 1456ms
Creating turbopack project { dir: 'G:\\SkillSwap', testMode: true }

 GET /api/health/mongodb 500 in 2.9s (next.js: 2.9s, application-code: 68ms)
 GET /api/health/mongodb 500 in 39ms (next.js: 13ms, application-code: 26ms)
 GET /api/health/mongodb 500 in 19ms (next.js: 7ms, application-code: 12ms)
 GET /api/health/mongodb 500 in 22ms (next.js: 9ms, application-code: 13ms)
 GET /api/health/mongodb 500 in 21ms (next.js: 8ms, application-code: 13ms)
 GET /api/health/mongodb 500 in 18ms (next.js: 6ms, application-code: 12ms)
 GET /api/health/mongodb 500 in 16ms (next.js: 7ms, application-code: 9ms)
 GET /api/health/mongodb 500 in 23ms (next.js: 9ms, application-code: 14ms)
 GET /api/health/mongodb 500 in 14ms (next.js: 5ms, application-code: 9ms)
 GET /api/health/mongodb 500 in 29ms (next.js: 13ms, application-code: 16ms)
 GET /api/health/mongodb 500 in 29ms (next.js: 10ms, application-code: 19ms)
 GET /api/health/mongodb 500 in 13ms (next.js: 6ms, application-code: 7ms)
 GET /api/health/mongodb 500 in 18ms (next.js: 5ms, application-code: 12ms)
 GET /api/health/mongodb 500 in 18ms (next.js: 7ms, application-code: 11ms)
 GET /api/health/mongodb 500 in 17ms (next.js: 7ms, application-code: 10ms)
 GET /api/health/mongodb 500 in 15ms (next.js: 7ms, application-code: 8ms)
 GET /api/health/mongodb 500 in 18ms (next.js: 8ms, application-code: 9ms)
 GET /api/health/mongodb 500 in 11ms (next.js: 5ms, application-code: 5ms)
 GET /api/health/mongodb 500 in 18ms (next.js: 9ms, application-code: 9ms)
 GET /api/health/mongodb 500 in 15ms (next.js: 4ms, application-code: 10ms)
 GET /api/health/mongodb 500 in 27ms (next.js: 8ms, application-code: 19ms)
 GET /api/health/mongodb 500 in 17ms (next.js: 6ms, application-code: 11ms)
 GET /api/health/mongodb 500 in 15ms (next.js: 5ms, application-code: 10ms)
 GET /api/health/mongodb 500 in 19ms (next.js: 8ms, application-code: 11ms)
 GET /api/health/mongodb 500 in 16ms (next.js: 6ms, application-code: 9ms)
 GET /api/health/mongodb 500 in 17ms (next.js: 6ms, application-code: 12ms)
 GET /api/health/mongodb 500 in 17ms (next.js: 8ms, application-code: 8ms)
 GET /api/health/mongodb 500 in 16ms (next.js: 4ms, application-code: 12ms)
 GET /api/health/mongodb 500 in 28ms (next.js: 12ms, application-code: 17ms)
 GET /api/health/mongodb 500 in 24ms (next.js: 6ms, application-code: 18ms)
 GET /api/health/mongodb 500 in 22ms (next.js: 8ms, application-code: 14ms)
 GET /api/health/mongodb 500 in 12ms (next.js: 5ms, application-code: 7ms)
 GET /api/health/mongodb 500 in 15ms (next.js: 6ms, application-code: 9ms)
 GET /api/health/mongodb 500 in 11ms (next.js: 4ms, application-code: 8ms)
 GET /api/health/mongodb 500 in 18ms (next.js: 7ms, application-code: 11ms)
 GET /api/health/mongodb 500 in 15ms (next.js: 5ms, application-code: 10ms)
 GET /api/health/mongodb 500 in 18ms (next.js: 6ms, application-code: 12ms)
 GET /api/health/mongodb 500 in 17ms (next.js: 6ms, application-code: 11ms)
 GET /api/health/mongodb 500 in 17ms (next.js: 5ms, application-code: 12ms)
 GET /api/health/mongodb 500 in 33ms (next.js: 11ms, application-code: 22ms)
 GET /api/health/mongodb 500 in 32ms (next.js: 11ms, application-code: 21ms)
 GET /api/health/mongodb 500 in 34ms (next.js: 11ms, application-code: 23ms)
 GET /api/health/mongodb 500 in 40ms (next.js: 8ms, application-code: 32ms)
 GET /api/health/mongodb 500 in 33ms (next.js: 11ms, application-code: 21ms)
 GET /api/health/mongodb 500 in 23ms (next.js: 8ms, application-code: 15ms)
○ Compiling / ...
 GET / 200 in 6.5s (next.js: 6.0s, application-code: 548ms)
 GET / 200 in 19ms (next.js: 8ms, application-code: 10ms)
 GET / 200 in 24ms (next.js: 5ms, application-code: 19ms)
 GET /register 200 in 735ms (next.js: 711ms, application-code: 24ms)
 GET /search 200 in 939ms (next.js: 907ms, application-code: 32ms)
 GET /projects 404 in 514ms (next.js: 484ms, application-code: 30ms)
 GET /projects 404 in 110ms (next.js: 15ms, application-code: 96ms)
 GET /search 200 in 214ms (next.js: 17ms, application-code: 197ms)
 GET /skills 404 in 30ms (next.js: 10ms, application-code: 19ms)
 GET /skills 404 in 62ms (next.js: 16ms, application-code: 47ms)
